"","imp","pm","ap","n","r2","cx","ld.prb.int","ld.prb.x","ld.prb.z1","ld.sb.int","ld.sb.x","ld.sb.z1","ld.mcsd.int","ld.mcsd.x","ld.mcsd.z1","ld.sig.int","ld.sig.x","ld.sig.z1","ld.cic.int","ld.cic.x","ld.cic.z1","ld.ciw.int","ld.ciw.x","ld.ciw.z1","mi.prb.int","mi.prb.x","mi.prb.z1","mi.sb.int","mi.sb.x","mi.sb.z1","mi.mcsd.int","mi.mcsd.x","mi.mcsd.z1","mi.sig.int","mi.sig.x","mi.sig.z1","mi.cic.int","mi.cic.x","mi.cic.z1","mi.ciw.int","mi.ciw.x","mi.ciw.z1","mid.prb.int","mid.prb.x","mid.prb.z1","mid.sb.int","mid.sb.x","mid.sb.z1","mid.mcsd.int","mid.mcsd.x","mid.mcsd.z1","mid.sig.int","mid.sig.x","mid.sig.z1","mid.cic.int","mid.cic.x","mid.cic.z1","mid.ciw.int","mid.ciw.x","mid.ciw.z1"
"1",100,0.1,1,500,0.15,0,0.206379401455177,0.657746545333103,0.0341835994733653,0.0301216082357015,0.031291076052149,0.00145127878922292,0.0686329623602485,0.0689834189541328,0.0787028232393105,1,0.998,0.988,0.96,0.95,0.94,0.274823520319094,0.27524834219689,0.296864002394086,0.0825283571082334,0.658152012954015,0.251498807359909,0.0124265520186634,0.0313288973355272,0.0117266500008991,0.0665268727927632,0.068942613350465,0.0716614077161739,1,1,1,0.948,0.954,0.934,0.260685814975203,0.272665693105541,0.270022286388885,0.11653436474181,0.685383692872738,0.274727917558752,0.0174961220373057,0.03246575915261,0.0127186487590279,0.0667201118091076,0.0692811107854546,0.0721747334665605,1,0.998,1,0.946,0.956,0.936,0.261089448582721,0.273224116856858,0.270764097882119
"2",50,0.1,1,500,0.15,0,0.206379401455177,0.657746545333103,0.0341835994733653,0.0301216082357015,0.031291076052149,0.00145127878922292,0.0686329623602485,0.0689834189541328,0.0787028232393105,1,0.998,0.988,0.96,0.95,0.94,0.274823520319094,0.27524834219689,0.296864002394086,0.0902250770796067,0.630946980473295,0.296119234875357,0.0136020074466492,0.0299764219402956,0.0137899344088716,0.0664459943798102,0.0690748118437039,0.07175097163277,1,1,1,0.948,0.954,0.94,0.260658020354715,0.272692323529679,0.270290835701179,0.116270842717952,0.68955673168564,0.276741134009337,0.0174605421973173,0.0325859628994533,0.0128154674111198,0.0667048859923625,0.0694458153577504,0.0721543691719545,1,0.998,1,0.946,0.952,0.938,0.261091623224066,0.273292958015651,0.270793860943068
"3",25,0.1,1,500,0.15,0,0.206379401455177,0.657746545333103,0.0341835994733653,0.0301216082357015,0.031291076052149,0.00145127878922292,0.0686329623602485,0.0689834189541328,0.0787028232393105,1,0.998,0.988,0.96,0.95,0.94,0.274823520319094,0.27524834219689,0.296864002394086,0.0949442432418567,0.595079492587358,0.268427206216029,0.0142712590020981,0.028213853098761,0.012473260970651,0.0666424417290085,0.0692180277586145,0.0719067881838056,1,0.998,1,0.952,0.956,0.94,0.260921873006112,0.273163495134298,0.270704504354069,0.118216180938496,0.672791860282341,0.262012023710734,0.0177500358223397,0.0317179205837334,0.012127518520019,0.0667148083559852,0.069611767119021,0.0721892688947007,1,0.996,1,0.946,0.948,0.94,0.261124023314463,0.273483621362045,0.270790780382017
"4",20,0.1,1,500,0.15,0,0.206379401455177,0.657746545333103,0.0341835994733653,0.0301216082357015,0.031291076052149,0.00145127878922292,0.0686329623602485,0.0689834189541328,0.0787028232393105,1,0.998,0.988,0.96,0.95,0.94,0.274823520319094,0.27524834219689,0.296864002394086,0.106728934212439,0.555114144866028,0.299031019488791,0.0159970055719524,0.0262615600445754,0.013889382572623,0.0668325494172157,0.0693694753336987,0.0719377200694175,1,0.996,1,0.952,0.95,0.942,0.261113323615785,0.273086600253192,0.270944193430206,0.121180849125732,0.647731591111875,0.255919534274797,0.0181916306023394,0.0304807433663289,0.0118452470556821,0.066727816559102,0.0697390716731345,0.0721909375378164,1,0.996,1,0.946,0.946,0.938,0.261146294689071,0.273518654136215,0.270818000719604
"5",15,0.1,1,500,0.15,0,0.206379401455177,0.657746545333103,0.0341835994733653,0.0301216082357015,0.031291076052149,0.00145127878922292,0.0686329623602485,0.0689834189541328,0.0787028232393105,1,0.998,0.988,0.96,0.95,0.94,0.274823520319094,0.27524834219689,0.296864002394086,0.0986472068922856,0.565815407207632,0.319511358541887,0.0147735102935132,0.026685848257779,0.0148388487438086,0.066887604985993,0.069582558664069,0.0719464653359484,1,0.998,1,0.948,0.952,0.944,0.261265659551227,0.273302204897072,0.27100370949945,0.11922885617889,0.615815224343813,0.25847761695019,0.0179002796654339,0.0288792986800078,0.0119709017499574,0.0667215478783132,0.0699794325420647,0.0721471937066014,1,0.998,1,0.946,0.944,0.938,0.261172995356903,0.273731203025125,0.270825283501783
"6",10,0.1,1,500,0.15,0,0.206379401455177,0.657746545333103,0.0341835994733653,0.0301216082357015,0.031291076052149,0.00145127878922292,0.0686329623602485,0.0689834189541328,0.0787028232393105,1,0.998,0.988,0.96,0.95,0.94,0.274823520319094,0.27524834219689,0.296864002394086,0.128514810449591,0.524474206907506,0.368131501614466,0.0191654291692899,0.0245763964057641,0.0171847096510269,0.0671705930719588,0.070034586526012,0.0715787569360271,1,0.998,1,0.954,0.954,0.942,0.261603341437863,0.273813569471821,0.27135314471877,0.117201549991604,0.68666704392051,0.250589578082411,0.017588840604791,0.0321132930165678,0.0116027786973307,0.0667483744621613,0.0701726697356732,0.0721646258770332,1,0.996,1,0.946,0.95,0.94,0.26120212335492,0.274398459994547,0.270913496946189
"7",5,0.1,1,500,0.15,0,0.206379401455177,0.657746545333103,0.0341835994733653,0.0301216082357015,0.031291076052149,0.00145127878922292,0.0686329623602485,0.0689834189541328,0.0787028232393105,1,0.998,0.988,0.96,0.95,0.94,0.274823520319094,0.27524834219689,0.296864002394086,0.081494270934604,0.771280112844964,0.221279635188148,0.0121257899750453,0.0358955468599532,0.0102527284839789,0.0673227098465577,0.070514462001333,0.0721149586501706,1,0.996,0.996,0.95,0.952,0.94,0.263158179747137,0.27493407639097,0.274302220211092,0.110894857212638,0.747309463215946,0.262592254340024,0.0166939802477429,0.0347317090516271,0.0121403855073053,0.0665420325471806,0.0706123987412715,0.0722724541817354,1,0.996,1,0.946,0.946,0.938,0.261359920182622,0.274950089946459,0.271042695350109
"8",2,0.1,1,500,0.15,0,0.206379401455177,0.657746545333103,0.0341835994733653,0.0301216082357015,0.031291076052149,0.00145127878922292,0.0686329623602485,0.0689834189541328,0.0787028232393105,1,0.998,0.988,0.96,0.95,0.94,0.274823520319094,0.27524834219689,0.296864002394086,0.0817439233305795,1.14681874068788,0.282820480469445,0.0119806442046149,0.0515592572260579,0.0129570236186391,0.0683470632981517,0.0729952779494049,0.0729338221673297,1,0.958,0.936,0.95,0.934,0.938,0.266635086630991,0.278894496436714,0.278568126549045,0.124489992413313,1.15455146780995,0.242862760270091,0.0187720694976991,0.0528141598307464,0.0112222777987762,0.0664303956028262,0.0717413524758495,0.0723108189367997,1,0.99,0.998,0.948,0.938,0.936,0.261627901488312,0.277831042586024,0.271365073003173
"9",100,0.2,1,500,0.15,0,-0.00137316856669222,-0.414172185926638,-1.09957120258848,-0.000173242732384493,-0.0176746368516199,-0.0396366426919057,0.0793986978951565,0.0769018996824605,0.0926936244584781,1,0.978,0.948,0.958,0.95,0.946,0.313261834683804,0.314146891801594,0.35510293053441,-0.0716330235770569,-0.913680473736815,-0.304620081572104,-0.0101198011214053,-0.0399752831137194,-0.0131323447478117,0.070906468652833,0.0750083190506124,0.0775067672788052,1,0.986,0.99,0.948,0.954,0.934,0.280749367446019,0.307891342196966,0.294866402235431,-0.0541460663803434,-0.903713707923944,-0.197697606314914,-0.00759311436688862,-0.0394546322602759,-0.0084256275504615,0.0714317881202995,0.0751691271771853,0.0784011660529548,1,0.978,0.988,0.956,0.958,0.932,0.281788255786901,0.309282482083756,0.296341130004899
"10",50,0.2,1,500,0.15,0,-0.00137316856669222,-0.414172185926638,-1.09957120258848,-0.000173242732384493,-0.0176746368516199,-0.0396366426919057,0.0793986978951565,0.0769018996824605,0.0926936244584781,1,0.978,0.948,0.958,0.95,0.946,0.313261834683804,0.314146891801594,0.35510293053441,-0.0720999356901365,-0.9314168918417,-0.284346153409322,-0.0101563044728226,-0.0407134061409057,-0.0122082172242107,0.0711121348939297,0.0750781062810658,0.0778248832461822,1,0.978,0.99,0.954,0.958,0.936,0.280935424239631,0.308664376832985,0.295117473655584,-0.0512064623327052,-0.937068471806159,-0.18886575034742,-0.00718182964097901,-0.0409626632680878,-0.00805581995448367,0.0714223647996185,0.0750740383887925,0.078336980128062,1,0.982,0.988,0.956,0.96,0.932,0.281785170916323,0.309492590756688,0.296379936576002
"11",25,0.2,1,500,0.15,0,-0.00137316856669222,-0.414172185926638,-1.09957120258848,-0.000173242732384493,-0.0176746368516199,-0.0396366426919057,0.0793986978951565,0.0769018996824605,0.0926936244584781,1,0.978,0.948,0.958,0.95,0.946,0.313261834683804,0.314146891801594,0.35510293053441,-0.0342690561953216,-0.987615268334086,-0.263826943639693,-0.00483118570751383,-0.0431058455168837,-0.0113406299700569,0.071054725094818,0.0751896848819243,0.0777329830911805,1,0.978,0.988,0.952,0.956,0.936,0.281168052994854,0.308695952441519,0.296234877363166,-0.056404027752682,-0.985194269600194,-0.173160477138001,-0.0079089973149032,-0.0431866814803738,-0.00737901341622653,0.0714386503624638,0.0748649744930634,0.078410431229574,1,0.982,0.99,0.956,0.96,0.932,0.28188204876734,0.309757523588123,0.29651783244582
"12",20,0.2,1,500,0.15,0,-0.00137316856669222,-0.414172185926638,-1.09957120258848,-0.000173242732384493,-0.0176746368516199,-0.0396366426919057,0.0793986978951565,0.0769018996824605,0.0926936244584781,1,0.978,0.948,0.958,0.95,0.946,0.313261834683804,0.314146891801594,0.35510293053441,-0.0401388521203658,-0.990979719649847,-0.248828110360592,-0.00567184334417308,-0.0430324742792663,-0.010702746852641,0.0708900484186099,0.0755744658570225,0.0776832803899032,1,0.98,0.986,0.952,0.956,0.936,0.281304011979524,0.309498942101335,0.296382950384292,-0.0520620703298662,-0.996478844825273,-0.181024224551841,-0.00730058766207136,-0.0436285402858185,-0.00771368409721136,0.0714345257843818,0.0749555918740603,0.0784148318042645,1,0.982,0.99,0.954,0.958,0.932,0.281897092237825,0.310112251815769,0.296546615410034
"13",15,0.2,1,500,0.15,0,-0.00137316856669222,-0.414172185926638,-1.09957120258848,-0.000173242732384493,-0.0176746368516199,-0.0396366426919057,0.0793986978951565,0.0769018996824605,0.0926936244584781,1,0.978,0.948,0.958,0.95,0.946,0.313261834683804,0.314146891801594,0.35510293053441,-0.0419757739554131,-0.99073710074372,-0.232419320170358,-0.00591663204778423,-0.0429107797799921,-0.00993668369158271,0.0710671178003077,0.0757702390434285,0.078154525301374,1,0.978,0.986,0.958,0.958,0.93,0.281810901708777,0.310301556883207,0.296641158769814,-0.0503489699196641,-0.965097394487926,-0.189727968846209,-0.00706458774841994,-0.042247403726994,-0.00808764424439991,0.0713917976496287,0.074968316026597,0.0783849501280426,1,0.982,0.99,0.956,0.954,0.932,0.281931069798312,0.310933253222383,0.296549350167158
